Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
tVect::operator+                                                                                                                                                 309.288s                 309.288s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x460390     
std::ostream::operator<<                                                                                                                                         296.249s                 296.249s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x4470aa     
std::ostream::operator<<                                                                                                                                         296.224s                 296.224s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x4470cc     
std::ostream::operator<<                                                                                                                                         292.334s                 292.334s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x447088     
LB::getPosition                                                                                                                                                  282.704s                 282.704s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::getPosition(unsigned int const&) const                                                                                                                                                                                                                                                                                                                                                                                 LB.cpp            0x44c150     
tVect::dot                                                                                                                                                       271.973s                 271.973s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::dot(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x460580     
node::store                                                                                                                                                      245.616s                 245.616s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::store(void)                                                                                                                                                                                                                                                                                                                                                                                                          node.cpp          0x4610c0     
tVect::operator+=                                                                                                                                                242.001s                 242.001s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x460345     
node::reconstruct                                                                                                                                                230.498s                 230.498s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::reconstruct(void)                                                                                                                                                                                                                                                                                                                                                                                                    node.cpp          0x4602f0     
tVect::operator/=                                                                                                                                                208.659s                 208.659s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/=(double const&)                                                                                                                                                                                                                                                                                                                                                                                           myvector.inl      0x460364     
div                                                                                                                                                              205.241s                 205.241s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6       div                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x3a220      
tVect::norm2                                                                                                                                                     204.628s                 204.628s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x460510     
tinyMatrix::operator*=                                                                                                                                           196.560s                 196.560s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tinyMatrix::operator*=(double const&)                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x460715     
IO::exportEulerianParaviewFluid                                                                                                                                  179.158s                 179.158s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          IO::exportEulerianParaviewFluid(LB const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)                                                                                                                                                                                                                                                                                          IO.cpp            0x405600     
std::ostream::operator<<                                                                                                                                         177.063s                 177.063s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x43f686     
