Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
tVect::operator/                                                                                                                                                   5.909s                   5.909s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x44caee     
std::vector<node*, std::allocator<node*>>::operator[]                                                                                                              5.829s                   5.829s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                       stl_vector.h      0x45f657     
quaternion::operator*                                                                                                                                              5.820s                   5.820s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x421e0d     
gomp_simple_barrier_wait                                                                                                                                           5.782s                   0.060s              5.672s                                           5.672s                                  0s                        0s                  0.050s                           0.050s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_simple_barrier_wait                                                                                                                                                                                                                                                                                                                                                                                                   simple-bar.h      0x1e7fc      
std::vector<Elongation, std::allocator<Elongation>>::size                                                                                                          5.750s                   5.750s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<Elongation, std::allocator<Elongation>>::size(void) const                                                                                                                                                                                                                                                                                                                                                      stl_vector.h      0x411780     
tVect::operator*                                                                                                                                                   5.728s                   5.728s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x422a22     
LB::findInterfaceMutants                                                                                                                                           5.650s                   5.650s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::findInterfaceMutants(void)                                                                                                                                                                                                                                                                                                                                                                                             LB.cpp            0x4579f0     
quaternion::operator*                                                                                                                                              5.460s                   5.460s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x421ca9     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                      5.440s                   5.440s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x45ece7     
std::vector<node*, std::allocator<node*>>::size                                                                                                                    5.298s                   5.298s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                stl_vector.h      0x457620     
quaternion::operator+                                                                                                                                              5.288s                   5.288s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x422ec6     
tVect::operator-                                                                                                                                                   5.224s                   5.224s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x44cbe8     
std::vector<node*, std::allocator<node*>>::size                                                                                                                    5.189s                   5.189s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                stl_vector.h      0x456c87     
tVect::operator+                                                                                                                                                   4.990s                   4.990s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x4219f5     
tVect::operator*                                                                                                                                                   4.920s                   4.920s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x42253a     
tVect::reset                                                                                                                                                       4.900s                   4.900s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::reset(void)                                                                                                                                                                                                                                                                                                                                                                                                         myvector.inl      0x411eed     
DEM::corrector._omp_fn.0                                                                                                                                           4.860s                   4.860s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          DEM::corrector._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                   DEM.cpp           0x408b30     
quaternion::operator+                                                                                                                                              4.840s                   4.840s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x422f3b     
DEM::rollingContact                                                                                                                                                4.800s                   4.800s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          DEM::rollingContact(tVect const&, tVect const&, double const&, double const&, double const&)                                                                                                                                                                                                                                                                                                                               DEM.cpp           0x40bd10     
quaternion::operator*                                                                                                                                              4.637s                   4.637s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x421c47     
tVect::operator-                                                                                                                                                   4.590s                   4.590s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x4619d0     
LB::generateNode                                                                                                                                                   4.211s                   4.211s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::generateNode(unsigned int const&, types const&)                                                                                                                                                                                                                                                                                                                                                                        LB.cpp            0x458eb0     
std::vector<Elongation, std::allocator<Elongation>>::size                                                                                                          4.200s                   4.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<Elongation, std::allocator<Elongation>>::size(void) const                                                                                                                                                                                                                                                                                                                                                      stl_vector.h      0x412146     
newtonAcc                                                                                                                                                          4.200s                   4.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          newtonAcc(tVect, tVect, tVect)                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x41253f     
func@0x404630                                                                                                                                                      4.070s                   4.070s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x404630                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x404630     
quaternion::operator+                                                                                                                                              3.978s                   3.978s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x422fab     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 3.914s                   3.914s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x459368     
tVect::operator+                                                                                                                                                   3.840s                   3.840s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x44cbe8     
[OpenMP fork]                                                                                                                                                      3.811s                       0s                  0s                                               0s                                  0s                        0s                  3.811s                           3.811s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_team_start                                                                                                                                                                                                                                                                                                                                                                                                            team.c            0xb71c       
tVect::operator+                                                                                                                                                   3.789s                   3.789s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41bfd7     
operator*                                                                                                                                                          3.733s                   3.733s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x4611bf     
tVect::operator*                                                                                                                                                   3.660s                   3.660s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x422bcc     
tVect::norm2                                                                                                                                                       3.630s                   3.630s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x456e18     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                      3.590s                   3.590s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x458b92     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                3.588s                   3.588s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x44cb0e     
tVect::operator-                                                                                                                                                   3.490s                   3.490s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41bbf9     
tVect::operator/                                                                                                                                                   3.480s                   3.480s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x41b7eb     
quaternion::operator+                                                                                                                                              3.420s                   3.420s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x421e41     
std::max<double>                                                                                                                                                   3.240s                   3.240s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::max<double>(double const&, double const&)                                                                                                                                                                                                                                                                                                                                                                             stl_algobase.h    0x40b53f     
tVect::operator*                                                                                                                                                   3.229s                   3.229s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x422c16     
tVect::operator-                                                                                                                                                   3.190s                   3.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41b838     
tVect::norm2                                                                                                                                                       3.190s                   3.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x44df38     
gomp_init_task                                                                                                                                                     3.100s                       0s                  0s                                               0s                                  0s                        0s                  3.100s                           3.100s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_init_task                                                                                                                                                                                                                                                                                                                                                                                                             task.c            0x173d0      
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                      3.049s                   3.049s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x458c92     
tVect::operator/                                                                                                                                                   2.968s                   2.968s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x44cbbf     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                      2.960s                   2.960s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x45f30c     
LB::redistributeMass._omp_fn.0                                                                                                                                     2.901s                   2.901s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::redistributeMass._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                             LB.cpp            0x447a10     
